EUR/GBP,Close,High,Low
13/01/2012,0.8278,0.8377,0.8274
16/01/2012,0.8266,0.8285,0.8255
17/01/2012,0.8302,0.8324,0.8263
18/01/2012,0.8326,0.8353,0.8304
19/01/2012,0.8364,0.8368,0.8326
20/01/2012,0.8311,0.8378,0.8308
23/01/2012,0.8369,0.8373,0.8276
24/01/2012,0.8339,0.8391,0.8313
25/01/2012,0.8368,0.8386,0.831
26/01/2012,0.8351,0.8399,0.8349
27/01/2012,0.8399,0.8406,0.8339
30/01/2012,0.8361,0.8406,0.8351
31/01/2012,0.8299,0.8386,0.8281
01/02/2012,0.8309,0.8343,0.8283
02/02/2012,0.8316,0.8333,0.8273
03/02/2012,0.8314,0.8341,0.829
06/02/2012,0.8296,0.8309,0.8262
07/02/2012,0.8329,0.8353,0.8283
08/02/2012,0.838,0.8388,0.833
09/02/2012,0.8399,0.8401,0.8336
10/02/2012,0.8366,0.8408,0.8351
13/02/2012,0.8365,0.8401,0.8365
14/02/2012,0.8363,0.84,0.8357
15/02/2012,0.8325,0.8402,0.8317
16/02/2012,0.8318,0.8327,0.8278
17/02/2012,0.8307,0.8338,0.829
20/02/2012,0.8355,0.8367,0.8314
21/02/2012,0.8386,0.8402,0.8341
22/02/2012,0.8452,0.846,0.8379
23/02/2012,0.8496,0.8499,0.8454
24/02/2012,0.8469,0.8505,0.8467
27/02/2012,0.8469,0.8486,0.8441
28/02/2012,0.8468,0.849,0.8465
29/02/2012,0.8369,0.847,0.8366
01/03/2012,0.8344,0.8383,0.8335
02/03/2012,0.8337,0.8351,0.8315
05/03/2012,0.8332,0.8353,0.8326
06/03/2012,0.8341,0.8351,0.8319
07/03/2012,0.8352,0.8364,0.8339
08/03/2012,0.8383,0.8399,0.8343
09/03/2012,0.8366,0.8394,0.8345
12/03/2012,0.8409,0.842,0.835
13/03/2012,0.8328,0.8424,0.8321
14/03/2012,0.8307,0.8334,0.8295
15/03/2012,0.8329,0.835,0.8313
16/03/2012,0.8317,0.8332,0.8294
19/03/2012,0.8329,0.8343,0.8281
20/03/2012,0.8334,0.8355,0.8316
21/03/2012,0.8324,0.8371,0.8319
22/03/2012,0.8337,0.835,0.83
23/03/2012,0.8355,0.8366,0.8336
26/03/2012,0.8367,0.837,0.8335
27/03/2012,0.8352,0.8371,0.8334
28/03/2012,0.8383,0.8395,0.8348
29/03/2012,0.8338,0.8385,0.833
30/03/2012,0.8336,0.836,0.8325
02/04/2012,0.8312,0.835,0.8291
03/04/2012,0.8316,0.8358,0.831
04/04/2012,0.8268,0.8326,0.8259
05/04/2012,0.8255,0.8279,0.8238
06/04/2012,0.8241,0.8257,0.8236
09/04/2012,0.8247,0.8257,0.8227
10/04/2012,0.8239,0.8277,0.8234
11/04/2012,0.8238,0.8264,0.8231
12/04/2012,0.8259,0.827,0.8227
13/04/2012,0.8249,0.827,0.8229
16/04/2012,0.8263,0.8269,0.821
17/04/2012,0.8239,0.8262,0.823
18/04/2012,0.8186,0.8244,0.8174
19/04/2012,0.818,0.8194,0.8162
20/04/2012,0.819,0.8205,0.8165
23/04/2012,0.8153,0.8198,0.8145
24/04/2012,0.8169,0.8187,0.8145
25/04/2012,0.8173,0.8222,0.8161
26/04/2012,0.8175,0.8185,0.8156
27/04/2012,0.8144,0.817,0.8134
30/04/2012,0.8154,0.816,0.8123
01/05/2012,0.8159,0.8198,0.8146
02/05/2012,0.8123,0.8163,0.811
03/05/2012,0.8127,0.8143,0.8103
04/05/2012,0.8106,0.8139,0.8096
07/05/2012,0.8065,0.8084,0.8036
08/05/2012,0.8055,0.8073,0.8043
09/05/2012,0.8017,0.8061,0.8013
10/05/2012,0.8015,0.8045,0.8
11/05/2012,0.8038,0.805,0.7996
14/05/2012,0.7976,0.8035,0.7961
15/05/2012,0.7957,0.8014,0.795
16/05/2012,0.7993,0.8008,0.795
17/05/2012,0.8038,0.8046,0.7991
18/05/2012,0.8072,0.8078,0.8024
21/05/2012,0.8091,0.8098,0.8059
22/05/2012,0.8048,0.8102,0.8039
23/05/2012,0.8012,0.8062,0.7994
24/05/2012,0.8,0.8027,0.7997
25/05/2012,0.7993,0.8045,0.7979
28/05/2012,0.7996,0.8037,0.7982
29/05/2012,0.7987,0.8006,0.7979
30/05/2012,0.7988,0.8,0.7971
31/05/2012,0.8023,0.8036,0.7989
01/06/2012,0.8078,0.8092,0.8017
04/06/2012,0.812,0.813,0.8068
05/06/2012,0.8095,0.8141,0.8089
06/06/2012,0.811,0.8125,0.805
07/06/2012,0.8096,0.8132,0.8064
08/06/2012,0.8082,0.81,0.8071
11/06/2012,0.806,0.8157,0.8052
12/06/2012,0.8026,0.808,0.8009
13/06/2012,0.8102,0.8107,0.8024
14/06/2012,0.8111,0.8121,0.8084
15/06/2012,0.8059,0.8153,0.8054
18/06/2012,0.8027,0.8111,0.802
19/06/2012,0.8063,0.808,0.8025
20/06/2012,0.8073,0.8099,0.8057
21/06/2012,0.8048,0.8091,0.8041
22/06/2012,0.8062,0.8067,0.8024
25/06/2012,0.8027,0.8074,0.8017
26/06/2012,0.7989,0.804,0.7983
27/06/2012,0.801,0.8016,0.7986
28/06/2012,0.8022,0.8029,0.7984
29/06/2012,0.8074,0.8095,0.801
02/07/2012,0.8017,0.8078,0.8013
03/07/2012,0.8034,0.8044,0.8013
04/07/2012,0.8031,0.8054,0.8026
05/07/2012,0.7977,0.8042,0.7965
06/07/2012,0.7926,0.7983,0.7923
09/07/2012,0.793,0.7948,0.7908
10/07/2012,0.7896,0.7935,0.7893
11/07/2012,0.7892,0.7904,0.787
12/07/2012,0.7907,0.7914,0.788
13/07/2012,0.7861,0.7913,0.7854
16/07/2012,0.7853,0.7878,0.783
17/07/2012,0.7851,0.7875,0.7831
18/07/2012,0.7842,0.787,0.7828
19/07/2012,0.7806,0.7854,0.779
20/07/2012,0.7788,0.782,0.777
23/07/2012,0.7816,0.7825,0.7756
24/07/2012,0.7778,0.7821,0.7766
