"Date","Open","High","Low","Close","a","b"
"05/08/2008",12957.01,13049.58,12893.34,12914.66,12915.9417490818,"ETS(A,N,N)"
"06/08/2008",13059.43,13295.51,13048.97,13254.89,13234.3558148656,"ETS(A,N,N)"
"07/08/2008",13257.99,13257.99,13034.15,13124.99,13134.5372592955,"ETS(A,N,N)"
"08/08/2008",13026.53,13259.73,12962.82,13168.41,13164.6924939351,"ETS(A,N,N)"
"11/08/2008",13259.46,13468.81,13259.46,13430.91,13396.5493649604,"ETS(A,N,N)"
"12/08/2008",13397.99,13420.1,13276.15,13303.6,13317.2184053468,"ETS(A,N,N)"
"13/08/2008",13205.64,13205.64,12953.34,13023.05,13069.4960502424,"ETS(A,N,N)"
"14/08/2008",12942.61,13090.68,12926.98,12956.8,12968.9835590223,"ETS(A,N,N)"
"15/08/2008",12991.91,13029.58,12952.21,13019.41,13013.3202093049,"ETS(M,N,N)"
"18/08/2008",12971.49,13270.37,12934.22,13165.45,13148.4194123952,"ETS(M,N,N)"
"19/08/2008",13016.5,13016.5,12782.1,12865.05,12904.4144637299,"ETS(M,N,N)"
"20/08/2008",12753.98,12923.66,12753.98,12851.69,12856.6177501448,"ETS(M,N,N)"
"21/08/2008",12885.34,12885.34,12723.83,12752.21,12762.5379377054,"ETS(M,N,N)"
"22/08/2008",12727.37,12732.69,12631.94,12666.04,12674.0384124916,"ETS(M,N,N)"
"25/08/2008",12797.54,12949.33,12797.54,12878.66,12854.3663281971,"ETS(M,N,N)"
"26/08/2008",12711.03,12801.21,12656.09,12778.71,12789.8669340546,"ETS(M,N,N)"
"27/08/2008",12734.39,12783.63,12681.98,12752.96,12758.2150747169,"ETS(M,N,N)"
"28/08/2008",12827.72,12847.46,12718.53,12768.25,12766.7711143439,"ETS(M,N,N)"
"29/08/2008",12925.45,13079.37,12918.49,13072.87,13024.3253447704,"ETS(M,N,N)"
"01/09/2008",12936.81,12940.55,12834.18,12834.18,12876.7751023925,"ETS(M,N,N)"
"02/09/2008",12779.89,12920.52,12491.07,12609.47,12708.2845283864,"ETS(M,M,N)"
"03/09/2008",12703.36,12767.5,12647.29,12689.59,12715.1707949305,"ETS(M,N,N)"
"04/09/2008",12627.64,12660.57,12514.26,12557.66,12607.1087744272,"ETS(M,N,N)"
"05/09/2008",12385.65,12385.65,12163.33,12212.23,12309.0292737835,"ETS(A,N,N)"
"08/09/2008",12359.93,12671.76,12352.35,12624.46,12559.4537910797,"ETS(A,A,N)"
