"Date","Open","High","Low","Close","a"
"23/05/2002",12001.28,12019.86,11936.87,11979.85,11527.4925806452
"24/05/2002",12013.35,12023.42,11842.8,11976.28,11547.6019354839
"27/05/2002",11975.33,12081.43,11952.68,11976.35,11575.4038709677
"28/05/2002",11941.97,11950.28,11889.56,11936.08,11598.5490322581
"29/05/2002",11837.27,11887.73,11796.59,11853,11621.314516129
"30/05/2002",11804.46,11812.59,11680.58,11770.03,11647.3483870968
"31/05/2002",11780.49,11911.91,11743.99,11763.7,11667.5548387097
"03/06/2002",11804.04,11905.16,11796.45,11901.39,11685.4493548387
"04/06/2002",11854.51,11874.3,11624.39,11653.07,11688.9770967742
"05/06/2002",11703.82,11769.4,11654.12,11663.87,11691.8203225806
"06/06/2002",11700.13,11743.89,11540.32,11574.94,11693.8503225806
"07/06/2002",11467.03,11467.03,11365.61,11438.53,11684.7177419355
"10/06/2002",11470.92,11522.04,11370.21,11370.21,11672.8912903226
"11/06/2002",11390.41,11514.53,11390.41,11449.44,11665.6835483871
"12/06/2002",11392.32,11405.29,11261.93,11327.06,11655.3074193548
"13/06/2002",11366.06,11396.28,11132.59,11144.84,11642.515483871
"14/06/2002",11121.89,11127.16,10911.07,10920.63,11624.0667741935
"17/06/2002",10858.05,10888.04,10577.89,10664.11,11595.3996774194
"18/06/2002",10799.43,10884.26,10747.68,10839.93,11572.4616129032
"19/06/2002",10757.03,10771.6,10448.7,10476.18,11545.3693548387
"20/06/2002",10467.22,10629.44,10325.55,10612.98,11516.0864516129
"21/06/2002",10489.78,10489.78,10327.91,10354.35,11474.83
"24/06/2002",10255.99,10490.87,10169.07,10471.32,11440.6432258065
"25/06/2002",10463.97,10580.49,10404.22,10496.67,11413.5374193548
"26/06/2002",10376.29,10376.29,10060.72,10074.56,11372.194516129
"27/06/2002",10182.12,10335.97,10176.18,10261.6,11327.6341935484
"28/06/2002",10390.53,10621.84,10366.47,10621.84,11291.6067741935
"01/07/2002",10655,10677.1,10541.22,10595.44,11251.2235483871
"02/07/2002",10516.66,10622.32,10371.26,10622.32,11211.41
"03/07/2002",10521.64,10862.69,10495.67,10812.3,11179.5112903226
"04/07/2002",10752.34,10791.22,10625.92,10632.81,11136.6348387097
"05/07/2002",10701.37,10885.83,10701.37,10826.09,11099.4167741935
"08/07/2002",10969.21,11050.69,10760.1,10769.2,11060.4787096774
"09/07/2002",10836.19,10960.25,10770.99,10960.25,11027.7012903226
"10/07/2002",10865.93,10975.72,10752.66,10752.66,10989.5264516129
"11/07/2002",10647.59,10647.59,10457.07,10485.74,10945.4212903226
"12/07/2002",10608.63,10694.41,10570,10601.45,10907.7251612903
"15/07/2002",10548.21,10548.21,10373.29,10375.15,10862.9332258065
"16/07/2002",10313.21,10503.04,10250.42,10250.42,10809.6761290323
"17/07/2002",10256.39,10328.01,10113.61,10296.02,10765.9003225806
"18/07/2002",10366.95,10513.99,10340.31,10498.26,10728.3
"19/07/2002",10421.53,10421.53,10174.68,10202.36,10684.0232258065
"22/07/2002",10076.3,10295.71,9982.24,10189.01,10643.7161290323
"23/07/2002",10102.46,10268.05,10003.81,10215.63,10606.4716129032
"24/07/2002",10134.88,10142.9,9901.09,9947.72,10558.0290322581
"25/07/2002",10079.98,10166.68,9911.13,9929.91,10512.9596774194
"26/07/2002",9868.33,9868.33,9547.85,9591.03,10462.8367741935
"29/07/2002",9654.13,9852.8,9636.69,9666.67,10422.3864516129
"30/07/2002",9801.09,10013.99,9791.45,10003.72,10401.0835483871
"31/07/2002",9964.75,9965.02,9831.59,9877.94,10370.0516129032
"01/08/2002",9912.59,9912.59,9738.23,9793.51,10348.03
"02/08/2002",9716.71,9791.94,9633.83,9709.66,10318.8906451613
"05/08/2002",9637.31,9775.93,9636.92,9704.93,10297.9416129032
"06/08/2002",9622.52,9623.16,9439.41,9501.02,10266.6416129032
"07/08/2002",9637.24,9875.33,9636.54,9834.4,10245.2780645161
"08/08/2002",9844.7,9941.01,9740.43,9799.57,10236.4074193548
"09/08/2002",9871.77,10043.3,9856.86,9999.79,10227.9619354839
"12/08/2002",9931.82,9931.82,9747.82,9747.82,10199.7677419355
"13/08/2002",9671.33,9795.95,9644.14,9688.61,10170.5151612903
"14/08/2002",9642.03,9681.84,9618.87,9638.41,10138.7761290323
"15/08/2002",9740.2,9851.68,9740.2,9795.57,10105.9783870968
"16/08/2002",9859.17,9883.65,9727.88,9788.13,10078.7306451613
"19/08/2002",9773.38,9773.38,9499.51,9599.1,10039.1503225806
"20/08/2002",9696.43,9743.1,9585.67,9620.69,10002.1016129032
"21/08/2002",9540.71,9706.69,9523.86,9642.61,9959.59709677419
"22/08/2002",9650.54,9851.89,9551.14,9814.02,9929.31838709678
"23/08/2002",9894.8,9979.88,9863.84,9867.45,9909.3735483871
"26/08/2002",9811.84,10162.3,9797.04,10067.74,9892.15709677419
"27/08/2002",10001.44,10067.25,9899.24,9907.3,9877.06516129032
"28/08/2002",9921.08,9953.4,9745.31,9766.73,9861.46225806452
"29/08/2002",9681.41,9697.55,9558.68,9620.14,9839.65967741935
"30/08/2002",9646.78,9677.57,9524.78,9619.3,9811.30612903226
"02/09/2002",9564.9,9565.08,9487.89,9521.63,9789.34709677419
"03/09/2002",9449.2,9472.56,9217.04,9217.04,9757.99322580645
"04/09/2002",9122.7,9159.06,8995.2,9075.09,9721.20161290323
"05/09/2002",9147.66,9290.4,9075.7,9222.12,9697.79516129032
"06/09/2002",9108.6,9150.45,8969.26,9129.07,9671.96161290323
"09/09/2002",9221.5,9353.44,9221.5,9306.26,9662.77548387097
"10/09/2002",9354.89,9455.85,9274.46,9309.31,9651.24774193548
"11/09/2002",9384.18,9432.44,9353.18,9400.08,9631.77548387097
"12/09/2002",9359.13,9440.54,9251.46,9415.23,9616.84935483871
"13/09/2002",9298.9,9305.69,9156.79,9241.93,9599.0564516129
"17/09/2002",9349.38,9577.42,9349.38,9543.94,9593.71064516129
"18/09/2002",9431.88,9521.58,9257.86,9472.06,9586.19870967742
"19/09/2002",9606.78,9884.6,9606.78,9669.62,9591.63741935484
"20/09/2002",9566.16,9672.82,9448.32,9481.08,9580.24
"24/09/2002",9396.42,9396.42,9188.29,9321.64,9564.82290322581
"25/09/2002",9212.63,9349.24,9106.45,9165.41,9537.90741935484
"26/09/2002",9264.97,9386.96,9264.97,9320.92,9524.1364516129
"27/09/2002",9415.74,9572.37,9415.74,9530.44,9519.03419354839
"30/09/2002",9421.25,9470.71,9315.25,9383.29,9510.80451612903
"01/10/2002",9289.53,9289.53,9143.28,9162.26,9490.37516129032
"02/10/2002",9252.29,9293.86,9049.33,9049.33,9466.54290322581
"03/10/2002",9057.98,9087.96,8927.57,8936.43,9445.1664516129
"04/10/2002",8899.77,9027.55,8860.65,9027.55,9426.03290322581
"07/10/2002",8920.74,8920.74,8650.36,8688,9395.23903225806
"08/10/2002",8712.22,8798.94,8674.48,8708.9,9359.59
