Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,prediction(att1)
22/06/2000,17228.85,17364.26,17092.44,17106.01,302.5300000000025,316.2000000000007,273.03999999999905,16902.993333333332,16605.736666666664,16416.12,16437.14333333333,17210.08,16907.55,16591.35,117.0,17106.01,17049.32504024292
23/06/2000,17055.67,17214.47,16899.0,16963.21,-104.07000000000335,302.5300000000025,316.2000000000007,17074.546666666665,16902.993333333332,16605.736666666664,16416.12,17106.01,17210.08,16907.55,118.0,16963.21,16952.059567301305
26/06/2000,16927.27,16975.07,16761.59,16925.4,-142.79999999999927,-104.07000000000335,302.5300000000025,17093.1,17074.546666666665,16902.993333333332,16605.736666666664,16963.21,17106.01,17210.08,119.0,16925.4,16791.896424181436
27/06/2000,16969.48,17285.47,16969.48,17279.06,-37.80999999999767,-142.79999999999927,-104.07000000000335,16998.20666666667,17093.1,17074.546666666665,16902.993333333332,16925.4,16963.21,17106.01,120.0,17279.06,16770.858931461353
28/06/2000,17289.31,17421.07,17230.04,17370.17,353.65999999999985,-37.80999999999767,-142.79999999999927,17055.89,16998.20666666667,17093.1,17074.546666666665,17279.06,16925.4,16963.21,121.0,17370.17,17123.584415202055
29/06/2000,17448.35,17511.32,17383.01,17475.9,91.10999999999694,353.65999999999985,-37.80999999999767,17191.543333333335,17055.89,16998.20666666667,17093.1,17370.17,17279.06,16925.4,122.0,17475.9,17220.20493859679
30/06/2000,17482.09,17510.07,17305.81,17411.05,105.7300000000032,91.10999999999694,353.65999999999985,17375.04333333333,17191.543333333335,17055.89,16998.20666666667,17475.9,17370.17,17279.06,123.0,17411.05,17297.637809720032
03/07/2000,17451.65,17636.67,17451.65,17614.66,-64.85000000000218,105.7300000000032,91.10999999999694,17419.039999999997,17375.04333333333,17191.543333333335,17055.89,17411.05,17475.9,17370.17,124.0,17614.66,17258.68979005239
04/07/2000,17655.57,17661.11,17434.07,17470.15,203.61000000000058,-64.85000000000218,105.7300000000032,17500.536666666667,17419.039999999997,17375.04333333333,17191.543333333335,17614.66,17411.05,17475.9,125.0,17470.15,17458.032065254574
05/07/2000,17473.76,17576.28,17364.7,17435.95,-144.5099999999984,203.61000000000058,-64.85000000000218,17498.62,17500.536666666667,17419.039999999997,17375.04333333333,17470.15,17614.66,17411.05,126.0,17435.95,17327.234274633098
06/07/2000,17402.71,17402.71,17154.58,17282.37,-34.20000000000073,-144.5099999999984,203.61000000000058,17506.92,17498.62,17500.536666666667,17419.039999999997,17435.95,17470.15,17614.66,127.0,17282.37,17250.093301358433
07/07/2000,17290.46,17483.47,17290.46,17398.24,-153.58000000000175,-34.20000000000073,-144.5099999999984,17396.156666666666,17506.92,17498.62,17500.536666666667,17282.37,17435.95,17470.15,128.0,17398.24,17126.30587921866
10/07/2000,17421.56,17594.66,17421.56,17572.68,115.87000000000262,-153.58000000000175,-34.20000000000073,17372.186666666665,17396.156666666666,17506.92,17498.62,17398.24,17282.37,17435.95,129.0,17572.68,17224.119168313373
11/07/2000,17567.5,17573.69,17436.58,17504.36,174.4399999999987,115.87000000000262,-153.58000000000175,17417.763333333332,17372.186666666665,17396.156666666666,17506.92,17572.68,17398.24,17282.37,130.0,17504.36,17417.484425487844
12/07/2000,17519.04,17541.98,17210.18,17342.13,-68.31999999999971,174.4399999999987,115.87000000000262,17491.76,17417.763333333332,17372.186666666665,17396.156666666666,17504.36,17572.68,17398.24,131.0,17342.13,17337.72149481809
13/07/2000,17348.34,17348.34,17009.65,17036.9,-162.22999999999956,-68.31999999999971,174.4399999999987,17473.056666666667,17491.76,17417.763333333332,17372.186666666665,17342.13,17504.36,17572.68,132.0,17036.9,17161.158327374662
14/07/2000,17136.7,17176.2,17019.5,17142.9,-305.22999999999956,-162.22999999999956,-68.31999999999971,17294.463333333337,17473.056666666667,17491.76,17417.763333333332,17036.9,17342.13,17504.36,133.0,17142.9,16876.325809384136
17/07/2000,17188.98,17476.86,17150.17,17286.83,106.0,-305.22999999999956,-162.22999999999956,17173.976666666666,17294.463333333337,17473.056666666667,17491.76,17142.9,17036.9,17342.13,134.0,17286.83,16964.913259309746
18/07/2000,17261.08,17349.59,16834.02,16945.07,143.9300000000003,106.0,-305.22999999999956,17155.543333333335,17173.976666666666,17294.463333333337,17473.056666666667,17286.83,17142.9,17036.9,135.0,16945.07,17131.0743947293
19/07/2000,16905.34,17015.47,16703.01,16983.57,-341.76000000000204,143.9300000000003,106.0,17124.933333333334,17155.543333333335,17173.976666666666,17294.463333333337,16945.07,17286.83,17142.9,136.0,16983.57,16769.087137629478
21/07/2000,17025.66,17098.74,16800.59,16811.49,38.5,-341.76000000000204,143.9300000000003,17071.823333333334,17124.933333333334,17155.543333333335,17173.976666666666,16983.57,16945.07,17286.83,137.0,16811.49,16779.26256893108
24/07/2000,16767.2,16767.2,16370.5,16547.12,-172.0799999999981,38.5,-341.76000000000204,16913.376666666667,17071.823333333334,17124.933333333334,17155.543333333335,16811.49,16983.57,16945.07,138.0,16547.12,16669.74005168937
25/07/2000,16506.15,16573.59,16341.52,16573.59,-264.3700000000026,-172.0799999999981,38.5,16780.726666666666,16913.376666666667,17071.823333333334,17124.933333333334,16547.12,16811.49,16983.57,139.0,16573.59,16363.549217397142
