Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
08/05/2012,3190.18,3190.18,3111.11,3124.8,52.25,-61.39000000000033,-2.9699999999998,3199.85,3203.8866666666668,3220.83,3235.133333333333,3214.22,3161.97,3223.36,0.5036138780346588,604.0,D,D,0.4963861219653411
09/05/2012,3138.01,3146.59,3075.88,3118.65,-89.41999999999962,52.25,-61.39000000000033,3166.9966666666664,3199.85,3203.8866666666668,3220.83,3124.8,3214.22,3161.97,0.45960866198406664,605.0,D,U,0.5403913380159333
10/05/2012,3136.16,3145.06,3073.38,3130.17,-6.150000000000091,-89.41999999999962,52.25,3152.556666666667,3166.9966666666664,3199.85,3203.8866666666668,3118.65,3124.8,3214.22,0.49608996022400764,606.0,D,U,0.5039100397759924
11/05/2012,3107.6,3134.62,3077.41,3129.77,11.519999999999982,-6.150000000000091,-89.41999999999962,3124.5400000000004,3152.556666666667,3166.9966666666664,3199.85,3130.17,3118.65,3124.8,0.47751557220153074,607.0,U,U,0.5224844277984693
14/05/2012,3093.36,3098.16,3038.97,3057.99,-0.40000000000009095,11.519999999999982,-6.150000000000091,3126.1966666666667,3124.5400000000004,3152.556666666667,3166.9966666666664,3129.77,3130.17,3118.65,0.4916531969030656,608.0,D,U,0.5083468030969345
15/05/2012,3079.83,3098.8,3020.81,3039.27,-71.7800000000002,-0.40000000000009095,11.519999999999982,3105.976666666667,3126.1966666666667,3124.5400000000004,3152.556666666667,3057.99,3129.77,3130.17,0.4747777883905198,609.0,D,U,0.5252222116094801
16/05/2012,3017.42,3081.74,2998.03,3048.67,-18.7199999999998,-71.7800000000002,-0.40000000000009095,3075.6766666666667,3105.976666666667,3126.1966666666667,3124.5400000000004,3039.27,3057.99,3129.77,0.48280374096173745,610.0,U,U,0.5171962590382626
17/05/2012,3054.58,3059.23,3002.68,3011.99,9.400000000000091,-18.7199999999998,-71.7800000000002,3048.6433333333334,3075.6766666666667,3105.976666666667,3126.1966666666667,3048.67,3039.27,3057.99,0.4793171635786697,611.0,D,U,0.5206828364213302
18/05/2012,2980.86,3031.83,2970.1,3008.0,-36.68000000000029,9.400000000000091,-18.7199999999998,3033.31,3048.6433333333334,3075.6766666666667,3105.976666666667,3011.99,3048.67,3039.27,0.47852815862924897,612.0,U,U,0.5214718413707511
21/05/2012,2997.19,3043.43,2984.72,3027.15,-3.9899999999997817,-36.68000000000029,9.400000000000091,3022.8866666666668,3033.31,3048.6433333333334,3075.6766666666667,3008.0,3011.99,3048.67,0.4904876025424015,613.0,U,U,0.5095123974575987
22/05/2012,3051.61,3093.92,3032.0,3084.09,19.15000000000009,-3.9899999999997817,-36.68000000000029,3015.713333333333,3022.8866666666668,3033.31,3048.6433333333334,3027.15,3008.0,3011.99,0.48973108275006133,614.0,U,U,0.5102689172499387
23/05/2012,3050.2,3053.74,2994.15,3003.27,56.940000000000055,19.15000000000009,-3.9899999999997817,3039.7466666666664,3015.713333333333,3022.8866666666668,3033.31,3084.09,3027.15,3008.0,0.5087268627672343,615.0,D,D,0.4912731372327657
24/05/2012,3028.84,3053.11,2987.9,3038.25,-80.82000000000016,56.940000000000055,19.15000000000009,3038.17,3039.7466666666664,3015.713333333333,3022.8866666666668,3003.27,3084.09,3027.15,0.4769883901064702,616.0,U,U,0.5230116098935298
25/05/2012,3044.66,3070.84,3016.27,3047.94,34.98000000000002,-80.82000000000016,56.940000000000055,3041.8700000000003,3038.17,3039.7466666666664,3015.713333333333,3038.25,3003.27,3084.09,0.5091983436521423,617.0,U,D,0.4908016563478576
28/05/2012,3068.34,3087.76,3034.09,3042.97,9.690000000000055,34.98000000000002,-80.82000000000016,3029.82,3041.8700000000003,3038.17,3039.7466666666664,3047.94,3038.25,3003.27,0.48089347353052797,618.0,D,U,0.519106526469472
